total,week,days,Crypto_Name,Extension,Sun,Mon,Tue,Wed,Thur,Fri,Sat
124,1650153600,"{1,19,34,26,14,25,5}",solana,/stats/commit_activity,1,19,34,26,14,25,5
131,1650758400,"{1,25,18,25,37,16,9}",solana,/stats/commit_activity,1,25,18,25,37,16,9
106,1651363200,"{4,20,22,24,16,16,4}",solana,/stats/commit_activity,4,20,22,24,16,16,4
10,1651968000,"{0,0,0,7,3,0,0}",solana,/stats/commit_activity,0,0,0,7,3,0,0
103,1652572800,"{0,11,15,21,14,35,7}",solana,/stats/commit_activity,0,11,15,21,14,35,7
51,1653177600,"{19,2,2,7,21,0,0}",solana,/stats/commit_activity,19,2,2,7,21,0,0
69,1653782400,"{0,7,9,20,13,17,3}",solana,/stats/commit_activity,0,7,9,20,13,17,3
60,1654387200,"{1,10,13,13,9,12,2}",solana,/stats/commit_activity,1,10,13,13,9,12,2
62,1654992000,"{4,14,13,11,8,8,4}",solana,/stats/commit_activity,4,14,13,11,8,8,4
99,1655596800,"{3,4,24,26,19,15,8}",solana,/stats/commit_activity,3,4,24,26,19,15,8
79,1656201600,"{2,18,17,19,12,10,1}",solana,/stats/commit_activity,2,18,17,19,12,10,1
83,1656806400,"{0,1,19,24,23,13,3}",solana,/stats/commit_activity,0,1,19,24,23,13,3
78,1657411200,"{7,22,17,9,8,10,5}",solana,/stats/commit_activity,7,22,17,9,8,10,5
76,1658016000,"{4,9,16,15,16,12,4}",solana,/stats/commit_activity,4,9,16,15,16,12,4
53,1658620800,"{4,12,8,10,6,11,2}",solana,/stats/commit_activity,4,12,8,10,6,11,2
66,1659225600,"{3,16,10,9,9,15,4}",solana,/stats/commit_activity,3,16,10,9,9,15,4
84,1659830400,"{4,13,20,19,14,9,5}",solana,/stats/commit_activity,4,13,20,19,14,9,5
82,1660435200,"{8,11,16,8,16,17,6}",solana,/stats/commit_activity,8,11,16,8,16,17,6
95,1661040000,"{1,25,25,17,11,15,1}",solana,/stats/commit_activity,1,25,25,17,11,15,1
60,1661644800,"{1,4,21,14,13,6,1}",solana,/stats/commit_activity,1,4,21,14,13,6,1
76,1662249600,"{0,3,26,21,10,10,6}",solana,/stats/commit_activity,0,3,26,21,10,10,6
71,1662854400,"{1,13,11,10,12,10,14}",solana,/stats/commit_activity,1,13,11,10,12,10,14
70,1663459200,"{3,8,7,13,16,12,11}",solana,/stats/commit_activity,3,8,7,13,16,12,11
57,1664064000,"{2,14,8,8,8,10,7}",solana,/stats/commit_activity,2,14,8,8,8,10,7
69,1664668800,"{1,12,14,13,20,9,0}",solana,/stats/commit_activity,1,12,14,13,20,9,0
46,1665273600,"{2,8,12,7,6,10,1}",solana,/stats/commit_activity,2,8,12,7,6,10,1
90,1665878400,"{7,11,25,22,13,10,2}",solana,/stats/commit_activity,7,11,25,22,13,10,2
65,1666483200,"{0,10,15,13,8,12,7}",solana,/stats/commit_activity,0,10,15,13,8,12,7
38,1667088000,"{0,8,12,10,5,1,2}",solana,/stats/commit_activity,0,8,12,10,5,1,2
26,1667692800,"{0,5,2,10,5,4,0}",solana,/stats/commit_activity,0,5,2,10,5,4,0
65,1668297600,"{0,8,15,10,7,15,10}",solana,/stats/commit_activity,0,8,15,10,7,15,10
43,1668902400,"{0,16,15,12,0,0,0}",solana,/stats/commit_activity,0,16,15,12,0,0,0
95,1669507200,"{0,19,25,15,15,20,1}",solana,/stats/commit_activity,0,19,25,15,15,20,1
82,1670112000,"{1,13,31,10,9,17,1}",solana,/stats/commit_activity,1,13,31,10,9,17,1
81,1670716800,"{4,16,23,11,15,10,2}",solana,/stats/commit_activity,4,16,23,11,15,10,2
53,1671321600,"{1,13,10,7,7,9,6}",solana,/stats/commit_activity,1,13,10,7,7,9,6
25,1671926400,"{4,2,2,3,6,6,2}",solana,/stats/commit_activity,4,2,2,3,6,6,2
92,1672531200,"{0,21,20,14,21,12,4}",solana,/stats/commit_activity,0,21,20,14,21,12,4
83,1673136000,"{2,10,22,23,15,6,5}",solana,/stats/commit_activity,2,10,22,23,15,6,5
56,1673740800,"{2,5,20,10,9,6,4}",solana,/stats/commit_activity,2,5,20,10,9,6,4
74,1674345600,"{1,6,21,23,11,11,1}",solana,/stats/commit_activity,1,6,21,23,11,11,1
109,1674950400,"{2,16,27,38,16,10,0}",solana,/stats/commit_activity,2,16,27,38,16,10,0
99,1675555200,"{2,11,13,19,23,25,6}",solana,/stats/commit_activity,2,11,13,19,23,25,6
73,1676160000,"{1,16,11,21,14,8,2}",solana,/stats/commit_activity,1,16,11,21,14,8,2
82,1676764800,"{0,7,11,19,20,21,4}",solana,/stats/commit_activity,0,7,11,19,20,21,4
30,1677369600,"{0,9,4,6,0,9,2}",solana,/stats/commit_activity,0,9,4,6,0,9,2
43,1677974400,"{1,9,7,9,4,10,3}",solana,/stats/commit_activity,1,9,7,9,4,10,3
54,1678579200,"{1,11,8,7,15,10,2}",solana,/stats/commit_activity,1,11,8,7,15,10,2
72,1679184000,"{2,15,15,16,10,14,0}",solana,/stats/commit_activity,2,15,15,16,10,14,0
89,1679788800,"{0,12,23,21,20,12,1}",solana,/stats/commit_activity,0,12,23,21,20,12,1
70,1680393600,"{0,13,12,11,18,15,1}",solana,/stats/commit_activity,0,13,12,11,18,15,1
13,1680998400,"{0,12,1,0,0,0,0}",solana,/stats/commit_activity,0,12,1,0,0,0,0
62,1650153600,"{1,4,9,31,4,9,4}",bitcoin,/stats/commit_activity,1,4,9,31,4,9,4
72,1650758400,"{8,10,7,17,12,11,7}",bitcoin,/stats/commit_activity,8,10,7,17,12,11,7
40,1651363200,"{5,12,5,2,2,12,2}",bitcoin,/stats/commit_activity,5,12,5,2,2,12,2
40,1651968000,"{0,12,7,5,9,7,0}",bitcoin,/stats/commit_activity,0,12,7,5,9,7,0
70,1652572800,"{10,13,8,14,8,13,4}",bitcoin,/stats/commit_activity,10,13,8,14,8,13,4
44,1653177600,"{1,2,10,20,5,4,2}",bitcoin,/stats/commit_activity,1,2,10,20,5,4,2
36,1653782400,"{4,11,8,4,4,2,3}",bitcoin,/stats/commit_activity,4,11,8,4,4,2,3
60,1654387200,"{2,4,12,14,6,9,13}",bitcoin,/stats/commit_activity,2,4,12,14,6,9,13
42,1654992000,"{5,7,6,4,15,3,2}",bitcoin,/stats/commit_activity,5,7,6,4,15,3,2
59,1655596800,"{1,10,18,6,11,8,5}",bitcoin,/stats/commit_activity,1,10,18,6,11,8,5
64,1656201600,"{2,8,15,10,10,19,0}",bitcoin,/stats/commit_activity,2,8,15,10,10,19,0
45,1656806400,"{3,9,10,13,7,2,1}",bitcoin,/stats/commit_activity,3,9,10,13,7,2,1
60,1657411200,"{1,10,12,10,10,9,8}",bitcoin,/stats/commit_activity,1,10,12,10,10,9,8
65,1658016000,"{0,4,18,14,17,10,2}",bitcoin,/stats/commit_activity,0,4,18,14,17,10,2
49,1658620800,"{1,13,11,3,6,13,2}",bitcoin,/stats/commit_activity,1,13,11,3,6,13,2
32,1659225600,"{3,4,5,5,3,10,2}",bitcoin,/stats/commit_activity,3,4,5,5,3,10,2
46,1659830400,"{3,6,7,8,4,10,8}",bitcoin,/stats/commit_activity,3,6,7,8,4,10,8
48,1660435200,"{1,6,9,3,12,14,3}",bitcoin,/stats/commit_activity,1,6,9,3,12,14,3
35,1661040000,"{1,4,7,10,7,5,1}",bitcoin,/stats/commit_activity,1,4,7,10,7,5,1
36,1661644800,"{1,3,6,9,9,6,2}",bitcoin,/stats/commit_activity,1,3,6,9,9,6,2
39,1662249600,"{4,4,7,13,3,4,4}",bitcoin,/stats/commit_activity,4,4,7,13,3,4,4
44,1662854400,"{0,4,11,11,9,7,2}",bitcoin,/stats/commit_activity,0,4,11,11,9,7,2
44,1663459200,"{0,12,17,9,2,3,1}",bitcoin,/stats/commit_activity,0,12,17,9,2,3,1
40,1664064000,"{5,3,4,10,6,10,2}",bitcoin,/stats/commit_activity,5,3,4,10,6,10,2
58,1664668800,"{3,15,14,9,8,7,2}",bitcoin,/stats/commit_activity,3,15,14,9,8,7,2
22,1665273600,"{1,2,5,4,5,3,2}",bitcoin,/stats/commit_activity,1,2,5,4,5,3,2
32,1665878400,"{0,7,8,9,6,1,1}",bitcoin,/stats/commit_activity,0,7,8,9,6,1,1
39,1666483200,"{1,10,6,8,5,8,1}",bitcoin,/stats/commit_activity,1,10,6,8,5,8,1
12,1667088000,"{1,0,2,1,8,0,0}",bitcoin,/stats/commit_activity,1,0,2,1,8,0,0
20,1667692800,"{0,0,8,4,7,1,0}",bitcoin,/stats/commit_activity,0,0,8,4,7,1,0
30,1668297600,"{1,9,7,4,6,3,0}",bitcoin,/stats/commit_activity,1,9,7,4,6,3,0
16,1668902400,"{0,3,6,4,0,3,0}",bitcoin,/stats/commit_activity,0,3,6,4,0,3,0
44,1669507200,"{3,12,9,7,5,7,1}",bitcoin,/stats/commit_activity,3,12,9,7,5,7,1
41,1670112000,"{2,9,8,8,7,6,1}",bitcoin,/stats/commit_activity,2,9,8,8,7,6,1
36,1670716800,"{0,8,6,2,12,7,1}",bitcoin,/stats/commit_activity,0,8,6,2,12,7,1
19,1671321600,"{3,2,4,2,1,4,3}",bitcoin,/stats/commit_activity,3,2,4,2,1,4,3
20,1671926400,"{0,3,2,2,5,8,0}",bitcoin,/stats/commit_activity,0,3,2,2,5,8,0
52,1672531200,"{0,2,21,3,13,12,1}",bitcoin,/stats/commit_activity,0,2,21,3,13,12,1
37,1673136000,"{1,8,2,4,5,17,0}",bitcoin,/stats/commit_activity,1,8,2,4,5,17,0
47,1673740800,"{3,12,12,7,7,5,1}",bitcoin,/stats/commit_activity,3,12,12,7,7,5,1
33,1674345600,"{4,7,3,5,6,7,1}",bitcoin,/stats/commit_activity,4,7,3,5,6,7,1
35,1674950400,"{0,12,7,9,0,7,0}",bitcoin,/stats/commit_activity,0,12,7,9,0,7,0
35,1675555200,"{1,6,8,4,9,5,2}",bitcoin,/stats/commit_activity,1,6,8,4,9,5,2
18,1676160000,"{0,4,3,3,4,3,1}",bitcoin,/stats/commit_activity,0,4,3,3,4,3,1
26,1676764800,"{0,3,5,3,5,7,3}",bitcoin,/stats/commit_activity,0,3,5,3,5,7,3
22,1677369600,"{0,7,6,2,3,1,3}",bitcoin,/stats/commit_activity,0,7,6,2,3,1,3
26,1677974400,"{4,5,5,4,4,4,0}",bitcoin,/stats/commit_activity,4,5,5,4,4,4,0
17,1678579200,"{0,2,8,5,1,1,0}",bitcoin,/stats/commit_activity,0,2,8,5,1,1,0
37,1679184000,"{2,2,14,7,7,5,0}",bitcoin,/stats/commit_activity,2,2,14,7,7,5,0
26,1679788800,"{7,4,3,1,1,8,2}",bitcoin,/stats/commit_activity,7,4,3,1,1,8,2
14,1680393600,"{0,2,7,2,3,0,0}",bitcoin,/stats/commit_activity,0,2,7,2,3,0,0
4,1680998400,"{4,0,0,0,0,0,0}",bitcoin,/stats/commit_activity,4,0,0,0,0,0,0
62,1650153600,"{1,4,9,31,4,9,4}",bitcoin,/stats/commit_activity,1,4,9,31,4,9,4
72,1650758400,"{8,10,7,17,12,11,7}",bitcoin,/stats/commit_activity,8,10,7,17,12,11,7
40,1651363200,"{5,12,5,2,2,12,2}",bitcoin,/stats/commit_activity,5,12,5,2,2,12,2
40,1651968000,"{0,12,7,5,9,7,0}",bitcoin,/stats/commit_activity,0,12,7,5,9,7,0
70,1652572800,"{10,13,8,14,8,13,4}",bitcoin,/stats/commit_activity,10,13,8,14,8,13,4
44,1653177600,"{1,2,10,20,5,4,2}",bitcoin,/stats/commit_activity,1,2,10,20,5,4,2
36,1653782400,"{4,11,8,4,4,2,3}",bitcoin,/stats/commit_activity,4,11,8,4,4,2,3
60,1654387200,"{2,4,12,14,6,9,13}",bitcoin,/stats/commit_activity,2,4,12,14,6,9,13
42,1654992000,"{5,7,6,4,15,3,2}",bitcoin,/stats/commit_activity,5,7,6,4,15,3,2
59,1655596800,"{1,10,18,6,11,8,5}",bitcoin,/stats/commit_activity,1,10,18,6,11,8,5
64,1656201600,"{2,8,15,10,10,19,0}",bitcoin,/stats/commit_activity,2,8,15,10,10,19,0
45,1656806400,"{3,9,10,13,7,2,1}",bitcoin,/stats/commit_activity,3,9,10,13,7,2,1
60,1657411200,"{1,10,12,10,10,9,8}",bitcoin,/stats/commit_activity,1,10,12,10,10,9,8
65,1658016000,"{0,4,18,14,17,10,2}",bitcoin,/stats/commit_activity,0,4,18,14,17,10,2
49,1658620800,"{1,13,11,3,6,13,2}",bitcoin,/stats/commit_activity,1,13,11,3,6,13,2
32,1659225600,"{3,4,5,5,3,10,2}",bitcoin,/stats/commit_activity,3,4,5,5,3,10,2
46,1659830400,"{3,6,7,8,4,10,8}",bitcoin,/stats/commit_activity,3,6,7,8,4,10,8
48,1660435200,"{1,6,9,3,12,14,3}",bitcoin,/stats/commit_activity,1,6,9,3,12,14,3
35,1661040000,"{1,4,7,10,7,5,1}",bitcoin,/stats/commit_activity,1,4,7,10,7,5,1
36,1661644800,"{1,3,6,9,9,6,2}",bitcoin,/stats/commit_activity,1,3,6,9,9,6,2
39,1662249600,"{4,4,7,13,3,4,4}",bitcoin,/stats/commit_activity,4,4,7,13,3,4,4
44,1662854400,"{0,4,11,11,9,7,2}",bitcoin,/stats/commit_activity,0,4,11,11,9,7,2
44,1663459200,"{0,12,17,9,2,3,1}",bitcoin,/stats/commit_activity,0,12,17,9,2,3,1
40,1664064000,"{5,3,4,10,6,10,2}",bitcoin,/stats/commit_activity,5,3,4,10,6,10,2
58,1664668800,"{3,15,14,9,8,7,2}",bitcoin,/stats/commit_activity,3,15,14,9,8,7,2
22,1665273600,"{1,2,5,4,5,3,2}",bitcoin,/stats/commit_activity,1,2,5,4,5,3,2
32,1665878400,"{0,7,8,9,6,1,1}",bitcoin,/stats/commit_activity,0,7,8,9,6,1,1
39,1666483200,"{1,10,6,8,5,8,1}",bitcoin,/stats/commit_activity,1,10,6,8,5,8,1
12,1667088000,"{1,0,2,1,8,0,0}",bitcoin,/stats/commit_activity,1,0,2,1,8,0,0
20,1667692800,"{0,0,8,4,7,1,0}",bitcoin,/stats/commit_activity,0,0,8,4,7,1,0
30,1668297600,"{1,9,7,4,6,3,0}",bitcoin,/stats/commit_activity,1,9,7,4,6,3,0
16,1668902400,"{0,3,6,4,0,3,0}",bitcoin,/stats/commit_activity,0,3,6,4,0,3,0
44,1669507200,"{3,12,9,7,5,7,1}",bitcoin,/stats/commit_activity,3,12,9,7,5,7,1
43,1670112000,"{2,9,9,8,8,6,1}",bitcoin,/stats/commit_activity,2,9,9,8,8,6,1
42,1670716800,"{0,9,6,4,12,9,2}",bitcoin,/stats/commit_activity,0,9,6,4,12,9,2
19,1671321600,"{3,2,4,2,1,4,3}",bitcoin,/stats/commit_activity,3,2,4,2,1,4,3
20,1671926400,"{0,3,2,2,5,8,0}",bitcoin,/stats/commit_activity,0,3,2,2,5,8,0
52,1672531200,"{0,2,21,3,13,12,1}",bitcoin,/stats/commit_activity,0,2,21,3,13,12,1
37,1673136000,"{1,8,2,4,5,17,0}",bitcoin,/stats/commit_activity,1,8,2,4,5,17,0
47,1673740800,"{3,12,12,7,7,5,1}",bitcoin,/stats/commit_activity,3,12,12,7,7,5,1
33,1674345600,"{4,7,3,5,6,7,1}",bitcoin,/stats/commit_activity,4,7,3,5,6,7,1
35,1674950400,"{0,12,7,9,0,7,0}",bitcoin,/stats/commit_activity,0,12,7,9,0,7,0
35,1675555200,"{1,6,8,4,9,5,2}",bitcoin,/stats/commit_activity,1,6,8,4,9,5,2
18,1676160000,"{0,4,3,3,4,3,1}",bitcoin,/stats/commit_activity,0,4,3,3,4,3,1
26,1676764800,"{0,3,5,3,5,7,3}",bitcoin,/stats/commit_activity,0,3,5,3,5,7,3
22,1677369600,"{0,7,6,2,3,1,3}",bitcoin,/stats/commit_activity,0,7,6,2,3,1,3
26,1677974400,"{4,5,5,4,4,4,0}",bitcoin,/stats/commit_activity,4,5,5,4,4,4,0
18,1678579200,"{0,2,8,5,2,1,0}",bitcoin,/stats/commit_activity,0,2,8,5,2,1,0
37,1679184000,"{2,2,14,7,7,5,0}",bitcoin,/stats/commit_activity,2,2,14,7,7,5,0
27,1679788800,"{7,4,3,1,2,8,2}",bitcoin,/stats/commit_activity,7,4,3,1,2,8,2
14,1680393600,"{0,2,7,2,3,0,0}",bitcoin,/stats/commit_activity,0,2,7,2,3,0,0
4,1680998400,"{4,0,0,0,0,0,0}",bitcoin,/stats/commit_activity,4,0,0,0,0,0,0
124,1650153600,"{1,19,34,26,14,25,5}",solana,/stats/commit_activity,1,19,34,26,14,25,5
131,1650758400,"{1,25,18,25,37,16,9}",solana,/stats/commit_activity,1,25,18,25,37,16,9
106,1651363200,"{4,20,22,24,16,16,4}",solana,/stats/commit_activity,4,20,22,24,16,16,4
10,1651968000,"{0,0,0,7,3,0,0}",solana,/stats/commit_activity,0,0,0,7,3,0,0
103,1652572800,"{0,11,15,21,14,35,7}",solana,/stats/commit_activity,0,11,15,21,14,35,7
51,1653177600,"{19,2,2,7,21,0,0}",solana,/stats/commit_activity,19,2,2,7,21,0,0
69,1653782400,"{0,7,9,20,13,17,3}",solana,/stats/commit_activity,0,7,9,20,13,17,3
60,1654387200,"{1,10,13,13,9,12,2}",solana,/stats/commit_activity,1,10,13,13,9,12,2
62,1654992000,"{4,14,13,11,8,8,4}",solana,/stats/commit_activity,4,14,13,11,8,8,4
99,1655596800,"{3,4,24,26,19,15,8}",solana,/stats/commit_activity,3,4,24,26,19,15,8
79,1656201600,"{2,18,17,19,12,10,1}",solana,/stats/commit_activity,2,18,17,19,12,10,1
83,1656806400,"{0,1,19,24,23,13,3}",solana,/stats/commit_activity,0,1,19,24,23,13,3
78,1657411200,"{7,22,17,9,8,10,5}",solana,/stats/commit_activity,7,22,17,9,8,10,5
76,1658016000,"{4,9,16,15,16,12,4}",solana,/stats/commit_activity,4,9,16,15,16,12,4
53,1658620800,"{4,12,8,10,6,11,2}",solana,/stats/commit_activity,4,12,8,10,6,11,2
66,1659225600,"{3,16,10,9,9,15,4}",solana,/stats/commit_activity,3,16,10,9,9,15,4
84,1659830400,"{4,13,20,19,14,9,5}",solana,/stats/commit_activity,4,13,20,19,14,9,5
82,1660435200,"{8,11,16,8,16,17,6}",solana,/stats/commit_activity,8,11,16,8,16,17,6
95,1661040000,"{1,25,25,17,11,15,1}",solana,/stats/commit_activity,1,25,25,17,11,15,1
60,1661644800,"{1,4,21,14,13,6,1}",solana,/stats/commit_activity,1,4,21,14,13,6,1
76,1662249600,"{0,3,26,21,10,10,6}",solana,/stats/commit_activity,0,3,26,21,10,10,6
71,1662854400,"{1,13,11,10,12,10,14}",solana,/stats/commit_activity,1,13,11,10,12,10,14
70,1663459200,"{3,8,7,13,16,12,11}",solana,/stats/commit_activity,3,8,7,13,16,12,11
57,1664064000,"{2,14,8,8,8,10,7}",solana,/stats/commit_activity,2,14,8,8,8,10,7
69,1664668800,"{1,12,14,13,20,9,0}",solana,/stats/commit_activity,1,12,14,13,20,9,0
46,1665273600,"{2,8,12,7,6,10,1}",solana,/stats/commit_activity,2,8,12,7,6,10,1
90,1665878400,"{7,11,25,22,13,10,2}",solana,/stats/commit_activity,7,11,25,22,13,10,2
65,1666483200,"{0,10,15,13,8,12,7}",solana,/stats/commit_activity,0,10,15,13,8,12,7
38,1667088000,"{0,8,12,10,5,1,2}",solana,/stats/commit_activity,0,8,12,10,5,1,2
26,1667692800,"{0,5,2,10,5,4,0}",solana,/stats/commit_activity,0,5,2,10,5,4,0
65,1668297600,"{0,8,15,10,7,15,10}",solana,/stats/commit_activity,0,8,15,10,7,15,10
43,1668902400,"{0,16,15,12,0,0,0}",solana,/stats/commit_activity,0,16,15,12,0,0,0
95,1669507200,"{0,19,25,15,15,20,1}",solana,/stats/commit_activity,0,19,25,15,15,20,1
82,1670112000,"{1,13,31,10,9,17,1}",solana,/stats/commit_activity,1,13,31,10,9,17,1
81,1670716800,"{4,16,23,11,15,10,2}",solana,/stats/commit_activity,4,16,23,11,15,10,2
53,1671321600,"{1,13,10,7,7,9,6}",solana,/stats/commit_activity,1,13,10,7,7,9,6
25,1671926400,"{4,2,2,3,6,6,2}",solana,/stats/commit_activity,4,2,2,3,6,6,2
92,1672531200,"{0,21,20,14,21,12,4}",solana,/stats/commit_activity,0,21,20,14,21,12,4
83,1673136000,"{2,10,22,23,15,6,5}",solana,/stats/commit_activity,2,10,22,23,15,6,5
56,1673740800,"{2,5,20,10,9,6,4}",solana,/stats/commit_activity,2,5,20,10,9,6,4
74,1674345600,"{1,6,21,23,11,11,1}",solana,/stats/commit_activity,1,6,21,23,11,11,1
109,1674950400,"{2,16,27,38,16,10,0}",solana,/stats/commit_activity,2,16,27,38,16,10,0
99,1675555200,"{2,11,13,19,23,25,6}",solana,/stats/commit_activity,2,11,13,19,23,25,6
73,1676160000,"{1,16,11,21,14,8,2}",solana,/stats/commit_activity,1,16,11,21,14,8,2
82,1676764800,"{0,7,11,19,20,21,4}",solana,/stats/commit_activity,0,7,11,19,20,21,4
30,1677369600,"{0,9,4,6,0,9,2}",solana,/stats/commit_activity,0,9,4,6,0,9,2
43,1677974400,"{1,9,7,9,4,10,3}",solana,/stats/commit_activity,1,9,7,9,4,10,3
54,1678579200,"{1,11,8,7,15,10,2}",solana,/stats/commit_activity,1,11,8,7,15,10,2
72,1679184000,"{2,15,15,16,10,14,0}",solana,/stats/commit_activity,2,15,15,16,10,14,0
89,1679788800,"{0,12,23,21,20,12,1}",solana,/stats/commit_activity,0,12,23,21,20,12,1
70,1680393600,"{0,13,12,11,18,15,1}",solana,/stats/commit_activity,0,13,12,11,18,15,1
22,1680998400,"{0,12,10,0,0,0,0}",solana,/stats/commit_activity,0,12,10,0,0,0,0
