screenName,tags,avatar,followersCount,friendsCount,lang,lastSeen,tweetId,id,friends
"""""""camvaleska""""""","""[ """"#respecttylerjoseph"""" ]""","""""""http://pbs.twimg.com/profile_images/727588951171674112/eUWvlDgF_normal.jpg""""""",3012,977,"""""""en""""""",1472264461130,"""""""769302434405572608""""""",82823,"[20241, 26779, 28737, 71597, 68647, 65249, 54813, 76070, 87628, 85885]"
"""""""unareid14""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/760091907980689408/ev1cjaWX_normal.jpg""""""",828,471,"""""""en""""""",1472264323580,"""""""769303240445943808""""""",23526,"[37000, 87755]"
"""""""nikki_nkr""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/753070118561718272/kZsoETOO_normal.jpg""""""",346,271,"""""""en""""""",1472258558820,"""""""769298506112638977""""""",26590,"[47359, 94038, 28887, 58357, 62781, 95756, 71397]"
"""""""itsathirahnasir""""""","""[ """"#happyjungkookday"""" ]""","""""""http://pbs.twimg.com/profile_images/770621621820239872/OfXKSpPK_normal.jpg""""""",186,114,"""""""en""""""",1472669105070,"""""""771055063825387520""""""",97667,"[37460, 84837, 50155]"
"""""""_ughcrying""""""","""[ """"#respecttylerjoseph"""" ]""","""""""http://pbs.twimg.com/profile_images/766451757790527488/O_1SIYkh_normal.jpg""""""",256,220,"""""""en""""""",1472266228272,"""""""769305146392064000""""""",48114,[]
"""""""LongstrethLAX""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/666740966368395264/A7DoYL9L_normal.jpg""""""",884,542,"""""""en""""""",1472266692026,"""""""769305686807228419""""""",29703,"[29874, 34941, 93041, 12275, 94452, 52658]"
"""""""suggscure""""""","""[ """"#happybirthdaydylanobrien"""" ]""","""""""http://pbs.twimg.com/profile_images/762537671306584068/aFoCgzxw_normal.jpg""""""",980,315,"""""""en""""""",1472269674725,"""""""769308667707400192""""""",76070,"[89663, 29417, 60709, 12275, 94452, 63336, 50776]"
"""""""dizzy__dontae""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/638216276184207360/Cf3tZXzs_normal.jpg""""""",1057,902,"""""""en""""""",1472259330343,"""""""769299044149723136""""""",25063,[]
"""""""SLBistro""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/663746620891209729/Cpzc46tA_normal.png""""""",716,206,"""""""en""""""",1472268137756,"""""""769306939520126976""""""",76425,"[15113, 72669, 16365, 31727, 94574, 90627]"
"""""""nicole_kayden""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/768547086149222404/doZeiSiN_normal.jpg""""""",1704,998,"""""""en""""""",1472272596891,"""""""769311417556017152""""""",93033,"[28737, 12354, 33022, 32662, 28938, 96293, 47359, 87755, 59241, 69836]"
"""""""SibeRescueBrian""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/764437298461024257/2med1Mso_normal.jpg""""""",348,243,"""""""en""""""",1472259606542,"""""""769299340238131204""""""",60628,"[96540, 31366, 87628, 50446]"
"""""""TomlinsonEli""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/764992869719474176/OmvTvw0h_normal.jpg""""""",612,877,"""""""en""""""",1472266316648,"""""""769305229208596480""""""",90627,[94979]
"""""""Tarattee""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/603677193198170112/8RQ12CRW_normal.jpg""""""",245,321,"""""""en""""""",1472270013759,"""""""769308858179137536""""""",64488,"[86924, 86532, 25063, 92304, 71991, 74346, 87527, 29417, 44897]"
"""""""LuckoftheDraw86""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/660845051891859456/4YwBcdrx_normal.jpg""""""",20038,824,"""""""en""""""",1472265564780,"""""""769304603141738497""""""",47424,"[74346, 97667]"
"""""""anabellac34""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/755162840051265536/nbvv6UFl_normal.jpg""""""",200,200,"""""""en""""""",1472266600929,"""""""769305579311370240""""""",89999,"[85885, 76435, 37440, 27712]"
"""""""MeggMitchelll""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/767518200661741570/WtFqvk_4_normal.jpg""""""",200,178,"""""""en""""""",1472271266527,"""""""769310253099933697""""""",55957,"[10988, 90963, 18756, 83473, 76070, 11331, 56195, 34941]"
"""""""CallumYoung87""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/761078131042029568/nWI_qW5A_normal.jpg""""""",347,1089,"""""""en""""""",1472261785388,"""""""769301678902378496""""""",27294,"[84702, 71597, 64488, 96464, 50155, 10365, 72301]"
"""""""keannacichon_""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/768854777690218497/_jtP4YzG_normal.jpg""""""",503,372,"""""""en""""""",1472254680016,"""""""769295550852235264""""""",21299,"[89709, 26641, 54255, 13783, 43214, 56483, 84837, 89651, 86991, 69283]"
"""""""Devin_McKnight3""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/727350416019623936/Y1iEjvjp_normal.jpg""""""",370,393,"""""""en""""""",1472253390373,"""""""769295116632674304""""""",42059,"[21814, 99837, 73719, 26093]"
"""""""b_stude1""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/750879212698042368/FjzVoV-Q_normal.jpg""""""",340,256,"""""""en""""""",1472248831849,"""""""769293388780888064""""""",50446,[96293]
"""""""Justine_D_Davis""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/1259188565/corvphoto_normal.jpg""""""",706,640,"""""""en""""""",1472260081372,"""""""769299865792684033""""""",44897,"[45954, 64963, 99615, 18756, 63336, 85096, 51051, 87211, 89709, 62524, 42059, 96464, 26641, 38132, 75509, 11257, 21948, 89663]"
"""""""WoffordKaleigh""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/752332091795206144/cEeOObR1_normal.jpg""""""",350,195,"""""""en""""""",1472262344235,"""""""769299606517616640""""""",94979,"[64963, 18756, 32006, 63336, 85096, 42059, 26641, 75509, 11257, 62524, 99615]"
"""""""ImChrisRich""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/727934633065775104/rvXaHU-U_normal.jpg""""""",26172,696,"""""""en""""""",1472265035192,"""""""769304123611156480""""""",20241,"[26779, 18648, 94038, 90152]"
"""""""Fix8Limited""""""","""[ """"#belgiangp"""" ]""","""""""http://pbs.twimg.com/profile_images/2515679093/http_www.fix8.co.uk__normal.jpg""""""",193,339,"""""""en""""""",1472288496007,"""""""769459835490430978""""""",83420,"[65249, 82823, 76425, 56473]"
"""""""BreadAndRosesCA""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/714882724524384256/sbCZny7t_normal.jpg""""""",815,795,"""""""en""""""",1472266648759,"""""""769301496131444736""""""",46510,"[56170, 73172, 76435, 38132, 82512, 69897, 42582, 90963, 90152]"
"""""""FilmFiends""""""","""[ """"steve rogers"""" ]""","""""""http://pbs.twimg.com/profile_images/509598478100463616/9IH6zWHS_normal.jpeg""""""",152,103,"""""""en""""""",1472250524042,"""""""769294040160350208""""""",37440,"[63652, 35317, 89999, 34355, 37674, 68054, 61958, 76425]"
"""""""NikkBarajas""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/769299837116305408/aPGLxHbf_normal.jpg""""""",170,126,"""""""en""""""",1472261148094,"""""""769301035244400640""""""",58446,[13783]
"""""""smolpeachlwt""""""","""[ """"#respecttylerjoseph"""" ]""","""""""http://pbs.twimg.com/profile_images/765143382410788865/1hB7ml8w_normal.jpg""""""",2649,170,"""""""en""""""",1472267432252,"""""""769299575622565889""""""",26641,"[78664, 51590, 35827, 31523, 37417, 53165, 97562, 94691, 89663]"
"""""""delaceybogdash""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/765521671369416705/47NxpQVB_normal.jpg""""""",364,404,"""""""en""""""",1472273530831,"""""""769312525309607936""""""",58746,"[32446, 68647, 18884, 96646, 64748, 10988, 31523, 56170, 21779, 67355]"
"""""""AliAftab_""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/761333877579415552/-mlpUMHy_normal.jpg""""""",489,383,"""""""en""""""",1472265311584,"""""""769304428063166464""""""",42136,"[84423, 16426, 42582, 97562, 83420, 90733, 48297, 94691, 15113]"
"""""""sianbehr""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/763125357373337600/SYHVygOn_normal.jpg""""""",555,423,"""""""en""""""",1472262391157,"""""""769302415346503680""""""",64013,"[59241, 91782, 78307, 87628, 33083, 69897, 18470]"
"""""""YammineTannous""""""","""[ """"#belgiangp"""" ]""","""""""http://pbs.twimg.com/profile_images/754944660020289536/cVMFKUBT_normal.jpg""""""",139,218,"""""""en""""""",1472387344139,"""""""769458350459346945""""""",52658,"[11818, 83420, 12873, 66485, 78307, 29874, 60240]"
"""""""MargaretGrant22""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/3531613479/801debb65a4843d9982e6f2d3d7a799e_normal.jpeg""""""",685,827,"""""""en""""""",1472268724154,"""""""769307679160492032""""""",71397,"[31727, 42059, 37272, 45343]"
"""""""kenzi_cummings""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/742942740036587520/RUVGETQE_normal.jpg""""""",580,434,"""""""en""""""",1472264923381,"""""""769304007399661569""""""",51051,"[23526, 96293, 83940, 38480, 42474, 20241, 19621, 25063]"
"""""""Victori19992001""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/701533851797975040/wD8YWlG8_normal.jpg""""""",276,258,"""""""en""""""",1472267649570,"""""""769306551123255296""""""",78307,"[59666, 97053, 33022, 28938, 24924, 59244, 45558]"
"""""""sirdeeck""""""","""[ """"labour"""" ]""","""""""http://pbs.twimg.com/profile_images/738485965648494592/USYl_6T__normal.jpg""""""",1781,891,"""""""en""""""",1472248819915,"""""""769293388222988288""""""",10988,"[21104, 40635, 33127, 83420, 89709, 77735, 50776, 78742, 21948]"
"""""""ItsJeseniaCuhh""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/767964424267108353/dZEL3AeP_normal.jpg""""""",1367,698,"""""""en""""""",1472268475373,"""""""769307360217018368""""""",11331,"[54183, 82823, 48338, 53165, 67355, 33250, 46510, 63336, 12976, 96245]"
"""""""dmgiveawayss""""""","""[ """"#respecttylerjoseph"""" ]""","""""""http://pbs.twimg.com/profile_images/719585595618680834/68U4HPFq_normal.jpg""""""",7019,1396,"""""""en""""""",1472270745814,"""""""769309594665353216""""""",96245,"[40635, 83940, 45660]"
"""""""twiitchhin""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/744747440184532992/rOaVjmfb_normal.jpg""""""",751,370,"""""""en""""""",1472267383143,"""""""769306339306639361""""""",62524,"[55957, 95844, 76404]"
"""""""BDLNDSNBHD""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/768414734706061312/zJwJA8iz_normal.jpg""""""",163,143,"""""""en""""""",1472266949448,"""""""769305973227941888""""""",94775,"[86991, 24482, 58992, 76404, 19411, 98246, 78664, 16365, 76140]"
"""""""cyndelrmadsen""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/769178705776173056/8DWMxo57_normal.jpg""""""",727,647,"""""""en""""""",1472286923309,"""""""769453237850116097""""""",29374,"[72669, 97667, 33250]"
"""""""BeingEliza""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/768738006622621696/qK5-Mcm5_normal.jpg""""""",510,384,"""""""en""""""",1472265308129,"""""""769300862741061632""""""",26779,[]
"""""""pmatons""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/3069712261/78c42a64a7a61af313c83329c873b0f8_normal.jpeg""""""",4411,4370,"""""""en""""""",1472253470324,"""""""769295208638996480""""""",86532,"[45543, 25056, 38480, 38132, 35931, 84273, 50155, 11835, 44183]"
"""""""rachelhark""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/760685293217452034/peR65V9w_normal.jpg""""""",287,272,"""""""en""""""",1472269110471,"""""""769303456913981441""""""",72669,"[42582, 64963, 28737]"
"""""""anaen013""""""","""[ """"harry potter"""" ]""","""""""http://pbs.twimg.com/profile_images/760164110281564160/chU0B7NB_normal.jpg""""""",157,118,"""""""en""""""",1472803143007,"""""""771618407527567361""""""",64748,"[28938, 65249]"
"""""""Takemysoul_BTS""""""","""[ """"#isac2016"""" ]""","""""""http://pbs.twimg.com/profile_images/769480606455435264/T_45YtBj_normal.jpg""""""",248,1043,"""""""en""""""",1472483362353,"""""""770277127048400896""""""",87527,"[96245, 37440, 88028]"
"""""""atlantictroye""""""","""[ """"#respecttylerjoseph"""" ]""","""""""http://pbs.twimg.com/profile_images/763780830397341696/ysMYJyvy_normal.jpg""""""",639,128,"""""""en""""""",1472260108738,"""""""769293772886831105""""""",69897,"[84873, 78595, 58778, 21948, 30034, 43214, 77221, 83498, 29374, 19411]"
"""""""JeLouis1991""""""","""[ """"#respecttylerjoseph"""", """"#siriusblackisgay"""" ]""","""""""http://pbs.twimg.com/profile_images/758643142610542592/b7f9ncfr_normal.jpg""""""",2308,3150,"""""""en""""""",1472671268397,"""""""769294596820111360""""""",25961,"[58209, 85051, 90576, 73172, 84702, 72301, 76119]"
"""""""mollybvbphan""""""","""[ """"#respecttylerjoseph"""" ]""","""""""http://pbs.twimg.com/profile_images/767832335492452352/dPqMNy_5_normal.jpg""""""",554,1241,"""""""en""""""",1472270760797,"""""""769309617084039168""""""",35253,"[30483, 77735, 31523, 48338, 12976, 67355, 20189]"
"""""""MannyL47""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/768003023264096258/G8hsxtaB_normal.jpg""""""",389,236,"""""""en""""""",1472261306072,"""""""769301243466354688""""""",33862,"[31523, 78827, 32446, 12873, 66485, 93033, 26590, 35827, 31366]"
"""""""emaggg""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/766149890485329920/t-jtw2VY_normal.jpg""""""",1152,1118,"""""""en""""""",1472261949296,"""""""769301879746617345""""""",68531,[78827]
"""""""TrueTxCutie""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/459441049836855296/sdee_RGh_normal.jpeg""""""",117,165,"""""""en""""""",1472268203415,"""""""769307042947305472""""""",12354,"[56281, 27142, 73172, 51051, 71472, 20639, 86186]"
"""""""decayisdead""""""","""[ """"#respecttylerjoseph"""" ]""","""""""http://pbs.twimg.com/profile_images/761158899856728064/L0O_hK4p_normal.jpg""""""",1940,605,"""""""en""""""",1472256529622,"""""""769295788182802432""""""",29577,"[33862, 94979, 42738, 85885, 90627, 20467]"
"""""""balcayde30""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/651450244882759681/b8iraD3k_normal.jpg""""""",124,172,"""""""en""""""",1472253057539,"""""""769294769465929728""""""",90152,"[73719, 56473, 84423]"
"""""""monstershockey""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/763064509263126528/-7L5Qd7U_normal.jpg""""""",30442,1317,"""""""en""""""",1472271368562,"""""""769310369508491265""""""",78664,[]
"""""""Paigemorris_57""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/764941307470950400/T4qfLyJh_normal.jpg""""""",293,264,"""""""en""""""",1472267984984,"""""""769306786021068800""""""",89709,"[84702, 90576, 99719, 42582, 89999, 64748, 26779, 63078]"
"""""""OnlyA_Y""""""","""[ """"#bundesliga"""" ]""","""""""http://pbs.twimg.com/profile_images/3133777580/341ea590073c4cc65dbbf979e1f327a6_normal.jpeg""""""",140,317,"""""""en""""""",1472261357135,"""""""769301297724088324""""""",83740,"[79829, 95756, 88912, 11818, 67930, 58746, 28938, 29417, 95844]"
"""""""dogsandcoffee_""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/767894017153654785/fY9dmGx2_normal.jpg""""""",2214,275,"""""""en""""""",1472265009231,"""""""769304057043382272""""""",54515,"[58446, 69897, 79417, 75509, 84702, 71472, 79366]"
"""""""paige_jordan4""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/764339696877113344/iTdWKFlp_normal.jpg""""""",422,258,"""""""en""""""",1472262762707,"""""""769302783703015424""""""",89663,"[29374, 92454, 67749, 85096, 42059, 48114, 83845, 41999, 83498, 58446]"
"""""""HarleyNMoore""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/759171229005873152/CHYnL4wb_normal.jpg""""""",804,412,"""""""en""""""",1472261543011,"""""""769301427558707200""""""",63336,"[50748, 82547, 62285, 68531, 65654, 65249, 79829]"
"""""""PiperPagee""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/756511340840169472/iGPJACOA_normal.jpg""""""",267,331,"""""""en""""""",1472258217071,"""""""769296954094342144""""""",61958,"[88635, 56170, 19621, 10365, 84273, 54183, 84873]"
"""""""JustRoRoBackUp""""""","""[ """"#respecttylerjoseph"""" ]""","""""""http://pbs.twimg.com/profile_images/699509098547646464/uZhzqBdZ_normal.jpg""""""",1151,167,"""""""en""""""",1472273997883,"""""""769308736548696065""""""",60240,"[97667, 89990, 37674]"
"""""""VafFunGhoul_""""""","""[ """"#respecttylerjoseph"""" ]""","""""""http://pbs.twimg.com/profile_images/766360198634172416/VRV3wuJq_normal.jpg""""""",944,794,"""""""en""""""",1472260287272,"""""""769299495653875712""""""",76435,"[20639, 51555, 43214, 73172, 40635, 12976, 78664]"
"""""""turrranichelle""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/764601417151623168/_zOO3n0J_normal.jpg""""""",281,256,"""""""en""""""",1472259303564,"""""""769299014651039744""""""",79366,"[98571, 35931, 76425, 93033, 42474, 12275, 88912, 97667, 85051, 29874]"
"""""""Nick_Hofer1""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/756675872673959936/jnfDU_2u_normal.jpg""""""",389,360,"""""""en""""""",1472255395152,"""""""769296205646065664""""""",43430,"[10988, 99615, 61728, 20467, 60240, 35317, 83740, 42582, 41999]"
"""""""aloyolma""""""","""[ """"britney"""" ]""","""""""http://pbs.twimg.com/profile_images/769474527550201856/RgD0z6Xp_normal.jpg""""""",123,132,"""""""en""""""",1472483784849,"""""""770277551033946113""""""",93041,"[43754, 10988]"
"""""""dankremnitzer""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/455309072120553472/_0FVq0T1_normal.jpeg""""""",110,484,"""""""en""""""",1472262129457,"""""""769302128657571840""""""",78827,"[40635, 78742, 41999, 77735, 83498, 84837, 25056, 68531]"
"""""""ItzellDestiny""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/768355316597559296/SiEnOWtb_normal.jpg""""""",785,581,"""""""en""""""",1472270190904,"""""""769309053289762816""""""",85096,"[79366, 31523]"
"""""""vmormino""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/743495064412905473/7pY-1jl8_normal.jpg""""""",684,414,"""""""en""""""",1472272489678,"""""""769311295636144129""""""",68647,"[20189, 87009, 89663, 18756, 55957, 63652, 99150, 34819]"
"""""""fabminseok""""""","""[ """"#idonottrustanyonewho"""" ]""","""""""http://pbs.twimg.com/profile_images/765604939770961921/68o8T-s9_normal.jpg""""""",1039,597,"""""""en""""""",1472483517003,"""""""770277237228642304""""""",90963,"[42582, 58357, 89990, 15113, 94979, 69283]"
"""""""valbunny008""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/766751306417577984/T-TyXo_W_normal.jpg""""""",459,489,"""""""en""""""",1472262100939,"""""""769301968045035520""""""",88635,"[52658, 89999, 71335, 78827, 78307, 47359, 57429]"
"""""""missmarleesa""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/756283934963400704/a7rA45f7_normal.jpg""""""",225,122,"""""""en""""""",1472251947780,"""""""769294507506446336""""""",84423,"[15113, 67749, 82512, 90627, 32390, 93041, 84702, 26093, 31727]"
"""""""jacklynrw1""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/768105441834463233/PANJnyjB_normal.jpg""""""",119,115,"""""""en""""""",1472271731946,"""""""769310747298062336""""""",53165,"[29874, 62285, 23526, 32446]"
"""""""lizethgodinez_""""""","""[ """"#nationaldogday"""" ]""","""""""http://pbs.twimg.com/profile_images/762180312101027840/-_c-mjF7_normal.jpg""""""",236,143,"""""""en""""""",1472251394387,"""""""769294311892590597""""""",92454,"[59244, 42136]"
